Top DEVCoin (DEV) addresses as of block 409105

Address	Amount	Last deposit block	Last deposit timestamp	Last withdrawal block	Last withdrawal timestamp
LZ7JhvCbGZdRPB7PupfguLTcMtkEMUteyT	16435.8	408988	2018-09-18 12:04:57	401498	2018-09-12 23:01:10
Lfp8cbBdpDBXFowqaLAfpJVeuFEis8ZPEa	16416.8	296095	2018-06-07 20:46:39	-	-
LN5BXkJw2nJWw2NaCz4uNpNX3zj5kLj8Yb	16402.4	408973	2018-09-18 11:49:44	-	-
LVgVWVqyEaZZEqZMYeToqbav9HoH9ShZ9r	16398.0	409028	2018-09-18 12:44:23	-	-
LUqRhUX4BXRHG13zmFzz75QKPEoLJRVhUw	16396.6	409093	2018-09-18 13:55:47	391720	2018-09-05 17:40:33
LVwTsy7AKCqar3QqGM3YAVQywTu4PKLxab	16389.8	409023	2018-09-18 12:38:44	-	-
LM4hYzf4ZyfEYUPVhx6vaZhLzR6zjbrAhs	16385.2	408943	2018-09-18 11:27:44	-	-
LPdyjvRP7FaYz6WtjdEt8hS6uBNECssvRg	16350.6	409103	2018-09-18 14:08:08	394281	2018-09-07 14:52:47
Lh81JPVrM6St61fx4mmnNj8EoSsTdFm7eF	16337.4	409039	2018-09-18 12:57:43	406557	2018-09-16 16:49:40
LYUSD6MhQFL6aGc1zw3RyNJXiSwVEd39fv	16336.6	409092	2018-09-18 13:54:07	406557	2018-09-16 16:49:40
LMAXiy2Txhrf3sKCWzXMzYp5q6t9P1K1hM	16333.4	409029	2018-09-18 12:44:48	406557	2018-09-16 16:49:40
LXEEnbwGcRYrwsnRER2Rwid1RKTkvuhdG1	16326.0	408838	2018-09-18 09:28:03	406557	2018-09-16 16:49:40
LPUaeQquMf3fTpAuHSa4AHm2FcQrpdY4zM	16324.0	409099	2018-09-18 14:04:24	391119	2018-09-05 07:00:47
LYH2sBpYHCuyBAG9mCZLM34SpjQNwBspkP	16302.6	375726	2018-08-24 21:12:38	-	-
LSnbUKbaZXY8GJ8DR3TZGY4MScuBqRKQe4	16302.0	409016	2018-09-18 12:31:07	-	-
LReanJ6AiT76gHEXyXVaruaoCM7uSszQxq	16297.2	409105	2018-09-18 14:09:15	406557	2018-09-16 16:49:40
LgAtcpd4BT3ygmxnnhZKWbhsMC284pymcS	16293.5972981	408996	2018-09-18 12:15:26	396673	2018-09-09 09:19:55
Lf9ZqmtTp8mLg3eAR6wJT8LVwTTGdwyPUg	16273.0	408980	2018-09-18 11:59:18	399603	2018-09-11 13:28:48
LU4knovurcvvguXEqCVKQ9E5kk7DaGHSqi	16268.4	408393	2018-09-18 01:27:50	399094	2018-09-11 04:22:22
LTDx3KjT7MjfH4uUpmAnQdQck5SKhMhdP4	16263.6	409082	2018-09-18 13:43:22	398966	2018-09-11 01:58:51
Ldi1a4TSZNw2dLwbkjrv9bAEY27dfsSrfe	16245.2	409037	2018-09-18 12:55:54	398962	2018-09-11 01:56:37
LR2HUPdHLaoKLugVEy8KYja4KBthRFdyru	16235.0	409078	2018-09-18 13:39:50	401205	2018-09-12 17:51:20
LYmrT81UoxqfskSNt28ZKZ3XXskSFENEtg	16224.8	409104	2018-09-18 14:08:46	401088	2018-09-12 15:48:05
LiPY66Y3awDgR41si8RFrZZ7JTHRrhbmsa	16215.8	408688	2018-09-18 06:42:42	400846	2018-09-12 11:31:55
LNJvMzMsj88CizRCP8yaTjab8fqApLCzpW	16203.4	379375	2018-08-27 14:01:03	366027	2018-08-17 17:16:47
LW3mvy2mCVAXL9mfC6S8iVvHRDzkoVVowW	16194.4	409087	2018-09-18 13:48:21	404202	2018-09-14 22:51:54
LdP8fj8w1joA9AiF9x17U13RtHMN8SP8ba	16179.8	409084	2018-09-18 13:45:54	404677	2018-09-15 07:19:26
LPBATXUK87VmAhT6oAFNkrKmfRGR5reThw	16168.2	408500	2018-09-18 03:29:42	-	-
Lcx3ry8cNNURRQRmujnMnS4aNeCKd1W6a2	16158.6	409097	2018-09-18 14:01:40	406869	2018-09-16 22:21:50
LVvDc5uDHqqdUFL6GT8DHg68bgA8bXDiho	16151.8	409007	2018-09-18 12:21:37	407090	2018-09-17 02:22:28
LLrFAkHJERJpXrdR4tSp2BXdsJZvJUpPyH	16150.8	409032	2018-09-18 12:52:11	407089	2018-09-17 02:22:11
LWHNF1S9ZqfbX33TBprASbW6iHYcNzpivB	16148.8	409073	2018-09-18 13:32:54	407460	2018-09-17 08:48:25
